0.00030789 	0.0184497 	-3.11807e-09 	3.16639e-10
0.000975579 	0.0491291 	-5.75353e-09 	1.39016e-09
0.00175584 	0.0716266 	-5.76452e-09 	2.96658e-09
0.00266765 	0.0884976 	-4.31933e-09 	4.93647e-09
0.00373319 	0.102184 	-1.94043e-09 	7.20303e-09
0.00497838 	0.114316 	1.14563e-09 	9.69788e-09
0.00643351 	0.125663 	4.56763e-09 	1.22517e-08
0.00813397 	0.136457 	7.50089e-09 	1.4474e-08
0.0101211 	0.146687 	8.79511e-09 	1.47654e-08
0.0124433 	0.156325 	8.93327e-09 	1.41947e-08
0.015157 	0.165383 	8.69159e-09 	1.31101e-08
0.0183282 	0.173879 	8.83795e-09 	1.19746e-08
0.0220341 	0.181831 	9.1734e-09 	1.03118e-08
0.0263648 	0.189258 	9.36285e-09 	8.34802e-09
0.0314257 	0.196173 	9.16668e-09 	6.2422e-09
0.0373398 	0.202587 	8.33272e-09 	3.83574e-09
0.044251 	0.208497 	7.02312e-09 	1.4733e-09
