# y+ ()       
# Time        	patch         	min           	max           	average       
20            	roughCylinder	1.194144e+00	1.280597e+02	5.340778e+01
20            	sideWall	9.516238e+00	8.052736e+01	5.488467e+01
20            	bottom	2.779384e-02	1.726800e+01	5.364872e+00
21            	roughCylinder	1.976730e+00	1.280601e+02	5.342855e+01
21            	sideWall	9.516270e+00	8.052925e+01	5.489305e+01
21            	bottom	1.386775e-02	1.758282e+01	5.376420e+00
22            	roughCylinder	1.130979e+00	1.280562e+02	5.342003e+01
22            	sideWall	9.516270e+00	8.053380e+01	5.489918e+01
22            	bottom	6.765814e-02	1.744104e+01	5.378650e+00
23            	roughCylinder	1.987724e+00	1.280589e+02	5.342860e+01
23            	sideWall	9.516238e+00	8.053342e+01	5.490362e+01
23            	bottom	7.436558e-02	1.758330e+01	5.368345e+00
24            	roughCylinder	1.699145e+00	1.280566e+02	5.339292e+01
24            	sideWall	9.516270e+00	8.053456e+01	5.490684e+01
24            	bottom	6.097171e-02	1.722546e+01	5.374277e+00
25            	roughCylinder	4.679107e-01	1.280562e+02	5.343848e+01
25            	sideWall	9.516270e+00	8.053570e+01	5.490908e+01
25            	bottom	4.667122e-02	1.751126e+01	5.377656e+00
26            	roughCylinder	3.320163e-01	1.280578e+02	5.342823e+01
26            	sideWall	9.516270e+00	8.053494e+01	5.491061e+01
26            	bottom	3.547450e-02	1.835709e+01	5.381421e+00
27            	roughCylinder	9.771531e-01	1.280554e+02	5.341749e+01
27            	sideWall	9.516270e+00	8.053684e+01	5.491169e+01
27            	bottom	6.295037e-02	1.803182e+01	5.372705e+00
28            	roughCylinder	6.735771e-01	1.280574e+02	5.350842e+01
28            	sideWall	9.516270e+00	8.053608e+01	5.491242e+01
28            	bottom	2.537844e-02	1.755530e+01	5.382611e+00
29            	roughCylinder	5.648526e-01	1.280562e+02	5.341423e+01
29            	sideWall	9.516270e+00	8.053608e+01	5.491295e+01
29            	bottom	2.012320e-02	1.741200e+01	5.370110e+00
30            	roughCylinder	1.984339e+00	1.280554e+02	5.341240e+01
30            	sideWall	9.516270e+00	8.053646e+01	5.491323e+01
30            	bottom	5.426715e-02	1.790608e+01	5.378573e+00
31            	roughCylinder	1.393553e+00	1.280574e+02	5.347715e+01
31            	sideWall	9.516270e+00	8.053570e+01	5.491345e+01
31            	bottom	5.593246e-02	1.763329e+01	5.384111e+00
32            	roughCylinder	1.298963e+00	1.280554e+02	5.341767e+01
32            	sideWall	9.516270e+00	8.053684e+01	5.491357e+01
32            	bottom	4.476797e-02	1.695480e+01	5.374046e+00
33            	roughCylinder	2.822355e-01	1.280566e+02	5.341024e+01
33            	sideWall	9.516270e+00	8.053608e+01	5.491365e+01
33            	bottom	1.596093e-02	1.765940e+01	5.375834e+00
34            	roughCylinder	9.472288e-01	1.280566e+02	5.350161e+01
34            	sideWall	9.516270e+00	8.053646e+01	5.491377e+01
34            	bottom	9.747734e-03	1.755036e+01	5.383889e+00
35            	roughCylinder	1.354080e+00	1.280554e+02	5.343658e+01
