0.00030789 	0.0220456 	2.37726e-08 	-1.78766e-09
0.000975579 	0.0493405 	4.69225e-08 	-9.48662e-09
0.00175584 	0.0667106 	5.81511e-08 	-1.64197e-08
0.00266765 	0.0880675 	5.79106e-08 	-3.24281e-08
0.00373319 	0.1004 	4.9239e-08 	-4.52358e-08
0.00497838 	0.111318 	3.64729e-08 	-5.83187e-08
0.00643351 	0.125539 	1.46152e-08 	-7.53004e-08
0.00813397 	0.134485 	3.38808e-09 	-8.17665e-08
0.0101211 	0.144174 	-3.90887e-09 	-8.34505e-08
0.0124433 	0.152437 	-5.36059e-09 	-8.27162e-08
0.015157 	0.163006 	-3.96746e-09 	-8.00954e-08
0.0183282 	0.170018 	-2.62485e-09 	-7.7554e-08
0.0220341 	0.17795 	-1.72876e-09 	-7.4397e-08
0.0263648 	0.184277 	-1.69136e-09 	-7.08452e-08
0.0314257 	0.18992 	-2.39549e-09 	-6.63246e-08
0.0373398 	0.198639 	-3.33658e-09 	-5.70912e-08
0.044251 	0.20455 	-3.17722e-09 	-4.94114e-08
