# y+ ()       
# Time        	patch         	min           	max           	average       
20            	roughCylinder	4.785246e-01	4.946844e+01	2.932221e+01
20            	sideWall	5.302830e+00	7.954088e+01	5.375726e+01
20            	bottom	1.759106e-02	1.425255e+01	5.351132e+00
21            	roughCylinder	9.217953e-01	4.947683e+01	2.949804e+01
21            	sideWall	5.302012e+00	7.920187e+01	5.372037e+01
21            	bottom	2.688379e-02	1.424503e+01	5.339557e+00
22            	roughCylinder	1.111521e+00	4.971706e+01	2.977310e+01
22            	sideWall	5.302415e+00	7.893534e+01	5.366758e+01
22            	bottom	3.360298e-02	1.407619e+01	5.319389e+00
23            	roughCylinder	1.362107e+00	4.967223e+01	3.012658e+01
23            	sideWall	5.301200e+00	7.870246e+01	5.360537e+01
23            	bottom	3.559790e-02	1.410323e+01	5.301720e+00
24            	roughCylinder	9.270129e-01	4.964705e+01	3.036221e+01
24            	sideWall	5.302093e+00	7.853813e+01	5.354080e+01
24            	bottom	4.046299e-02	1.448974e+01	5.287271e+00
25            	roughCylinder	1.125349e+00	4.961932e+01	3.057542e+01
25            	sideWall	5.300652e+00	7.838632e+01	5.347917e+01
25            	bottom	3.774673e-02	1.413258e+01	5.271985e+00
26            	roughCylinder	4.625704e-01	4.965757e+01	3.086607e+01
26            	sideWall	5.301810e+00	7.828144e+01	5.342393e+01
26            	bottom	7.489924e-02	1.418099e+01	5.268995e+00
27            	roughCylinder	1.157443e+00	4.975559e+01	3.111174e+01
27            	sideWall	5.300370e+00	7.817134e+01	5.337646e+01
27            	bottom	5.491909e-02	1.422638e+01	5.255009e+00
28            	roughCylinder	7.274043e-01	5.018889e+01	3.113357e+01
28            	sideWall	5.301528e+00	7.809808e+01	5.333641e+01
28            	bottom	7.653606e-02	1.427058e+01	5.240496e+00
29            	roughCylinder	5.429273e-01	5.024195e+01	3.134134e+01
29            	sideWall	5.300312e+00	7.801133e+01	5.330339e+01
29            	bottom	4.896232e-02	1.429720e+01	5.233517e+00
30            	roughCylinder	2.733063e-01	5.052150e+01	3.141874e+01
30            	sideWall	5.301194e+00	7.798616e+01	5.327663e+01
30            	bottom	4.611600e-02	1.414165e+01	5.220729e+00
31            	roughCylinder	1.816377e-01	5.075502e+01	3.159764e+01
31            	sideWall	5.300393e+00	7.799078e+01	5.325538e+01
31            	bottom	6.496092e-02	1.438678e+01	5.213096e+00
32            	roughCylinder	1.174763e+00	5.089712e+01	3.167103e+01
32            	sideWall	5.300831e+00	7.796019e+01	5.323870e+01
32            	bottom	4.540288e-02	1.457501e+01	5.213766e+00
33            	roughCylinder	3.785193e-01	5.112060e+01	3.172565e+01
33            	sideWall	5.300531e+00	7.795748e+01	5.322555e+01
33            	bottom	6.533763e-02	1.466613e+01	5.208853e+00
34            	roughCylinder	5.893113e-01	5.139757e+01	3.190967e+01
34            	sideWall	5.300445e+00	7.793566e+01	5.321492e+01
34            	bottom	6.792118e-02	1.426635e+01	5.201427e+00
35            	roughCylinder	7.497629e-01	5.110233e+01	3.205249e+01
35            	sideWall	5.300681e+00	7.792621e+01	5.320597e+01
35            	bottom	4.767596e-03	1.435457e+01	5.201250e+00
36            	roughCylinder	1.665966e+00	5.116284e+01	3.209844e+01
36            	sideWall	5.300053e+00	7.789979e+01	5.319893e+01
36            	bottom	5.070797e-02	1.446146e+01	5.212894e+00
37            	roughCylinder	1.403743e+00	5.122215e+01	3.229664e+01
37            	sideWall	5.300814e+00	7.789313e+01	5.319394e+01
37            	bottom	4.559910e-02	1.425667e+01	5.220356e+00
38            	roughCylinder	9.878537e-01	5.101284e+01	3.241348e+01
38            	sideWall	5.299684e+00	7.785916e+01	5.319039e+01
38            	bottom	6.808553e-02	1.468273e+01	5.225455e+00
39            	roughCylinder	8.611310e-01	5.112815e+01	3.259405e+01
39            	sideWall	5.300929e+00	7.784865e+01	5.318838e+01
39            	bottom	4.679283e-02	1.427385e+01	5.240896e+00
40            	roughCylinder	1.328390e+00	5.097265e+01	3.276347e+01
40            	sideWall	5.299327e+00	7.779991e+01	5.318841e+01
40            	bottom	7.772588e-02	1.438544e+01	5.256621e+00
41            	roughCylinder	1.563868e+00	5.098980e+01	3.296526e+01
41            	sideWall	5.300940e+00	7.776437e+01	5.318979e+01
41            	bottom	4.655371e-02	1.428005e+01	5.276596e+00
42            	roughCylinder	4.185152e-01	5.101561e+01	3.301994e+01
42            	sideWall	5.298929e+00	7.770571e+01	5.319232e+01
42            	bottom	6.015915e-02	1.412631e+01	5.282702e+00
43            	roughCylinder	9.977933e-01	5.164954e+01	3.315128e+01
43            	sideWall	5.300906e+00	7.765711e+01	5.319591e+01
43            	bottom	5.498481e-02	1.431673e+01	5.317001e+00
44            	roughCylinder	5.166805e-01	5.308836e+01	3.338511e+01
44            	sideWall	5.298526e+00	7.757900e+01	5.319998e+01
44            	bottom	8.972213e-02	1.450848e+01	5.344011e+00
45            	roughCylinder	1.001125e+00	5.418326e+01	3.337408e+01
45            	sideWall	5.300756e+00	7.768358e+01	5.320449e+01
45            	bottom	2.138661e-01	1.471858e+01	5.368549e+00
46            	roughCylinder	3.480339e-01	5.489324e+01	3.356860e+01
46            	sideWall	5.298093e+00	7.781969e+01	5.320982e+01
46            	bottom	6.043647e-02	1.442351e+01	5.413827e+00
47            	roughCylinder	2.980660e-01	5.825968e+01	3.391016e+01
47            	sideWall	5.300531e+00	7.798208e+01	5.321521e+01
47            	bottom	5.692029e-02	1.459390e+01	5.455377e+00
48            	roughCylinder	3.965431e-01	5.611332e+01	3.418200e+01
48            	sideWall	5.297736e+00	7.812233e+01	5.322026e+01
48            	bottom	2.447084e-02	1.460533e+01	5.485358e+00
49            	roughCylinder	1.237581e+00	5.803213e+01	3.448005e+01
49            	sideWall	5.300186e+00	7.827988e+01	5.322327e+01
49            	bottom	1.816531e-01	1.448858e+01	5.516948e+00
50            	roughCylinder	1.260147e+00	5.904160e+01	3.478319e+01
50            	sideWall	5.297540e+00	7.840697e+01	5.322193e+01
50            	bottom	2.427639e-01	1.436539e+01	5.523188e+00
