# y+ ()       
# Time        	patch         	min           	max           	average       
20            	roughCylinder	5.143159e-01	1.264099e+02	5.347831e+01
20            	sideWall	7.590842e+00	7.964487e+01	5.410242e+01
20            	bottom	3.906645e-03	1.515277e+01	1.747659e+00
21            	roughCylinder	1.252834e+00	1.264071e+02	5.348509e+01
21            	sideWall	7.590846e+00	7.965063e+01	5.411501e+01
21            	bottom	1.128341e-02	1.473452e+01	1.750490e+00
22            	roughCylinder	1.186736e+00	1.264036e+02	5.348847e+01
22            	sideWall	7.590850e+00	7.965676e+01	5.412487e+01
22            	bottom	1.423236e-02	1.508901e+01	1.750894e+00
23            	roughCylinder	1.348449e+00	1.264020e+02	5.348145e+01
23            	sideWall	7.590846e+00	7.965983e+01	5.413229e+01
23            	bottom	7.294936e-03	1.495384e+01	1.745882e+00
24            	roughCylinder	1.722694e+00	1.264012e+02	5.348031e+01
24            	sideWall	7.590850e+00	7.966174e+01	5.413811e+01
24            	bottom	4.902515e-03	1.479684e+01	1.756388e+00
25            	roughCylinder	2.220384e+00	1.264000e+02	5.348418e+01
25            	sideWall	7.590850e+00	7.966443e+01	5.414243e+01
25            	bottom	5.886838e-03	1.494151e+01	1.748342e+00
26            	roughCylinder	1.118241e+00	1.264004e+02	5.348879e+01
26            	sideWall	7.590850e+00	7.966481e+01	5.414566e+01
26            	bottom	7.375042e-03	1.490133e+01	1.747449e+00
27            	roughCylinder	9.424307e-01	1.263989e+02	5.347238e+01
27            	sideWall	7.590850e+00	7.966596e+01	5.414772e+01
27            	bottom	3.732651e-03	1.483302e+01	1.749269e+00
28            	roughCylinder	1.179906e+00	1.263989e+02	5.349653e+01
28            	sideWall	7.590850e+00	7.966635e+01	5.414963e+01
28            	bottom	4.144506e-03	1.483164e+01	1.747747e+00
29            	roughCylinder	7.003972e-01	1.263992e+02	5.348321e+01
29            	sideWall	7.590850e+00	7.966635e+01	5.415071e+01
29            	bottom	7.467309e-03	1.515493e+01	1.748641e+00
30            	roughCylinder	8.241933e-01	1.263985e+02	5.348018e+01
30            	sideWall	7.590850e+00	7.966711e+01	5.415162e+01
30            	bottom	1.894178e-02	1.488588e+01	1.745406e+00
31            	roughCylinder	8.595829e-01	1.263989e+02	5.349966e+01
31            	sideWall	7.590850e+00	7.966673e+01	5.415215e+01
31            	bottom	7.075829e-03	1.468156e+01	1.742957e+00
32            	roughCylinder	6.351804e-01	1.263985e+02	5.347790e+01
32            	sideWall	7.590850e+00	7.966711e+01	5.415252e+01
32            	bottom	5.709401e-03	1.495488e+01	1.747232e+00
33            	roughCylinder	1.884314e+00	1.263985e+02	5.347944e+01
33            	sideWall	7.590850e+00	7.966750e+01	5.415292e+01
33            	bottom	3.778199e-03	1.486093e+01	1.752795e+00
34            	roughCylinder	1.306303e+00	1.263989e+02	5.350688e+01
34            	sideWall	7.590850e+00	7.966711e+01	5.415300e+01
34            	bottom	1.485478e-03	1.516983e+01	1.749193e+00
35            	roughCylinder	6.606382e-01	1.263981e+02	5.347994e+01
35            	sideWall	7.590850e+00	7.966750e+01	5.415290e+01
35            	bottom	1.787074e-03	1.497162e+01	1.744034e+00
36            	roughCylinder	1.567184e+00	1.263989e+02	5.351426e+01
36            	sideWall	7.590850e+00	7.966711e+01	5.415318e+01
36            	bottom	8.190467e-03	1.485956e+01	1.748618e+00
37            	roughCylinder	1.019367e+00	1.263985e+02	5.351617e+01
37            	sideWall	7.590850e+00	7.966750e+01	5.415340e+01
37            	bottom	2.377585e-03	1.486653e+01	1.748984e+00
38            	roughCylinder	1.376200e+00	1.263985e+02	5.348822e+01
38            	sideWall	7.590850e+00	7.966750e+01	5.415335e+01
38            	bottom	3.272506e-03	1.490560e+01	1.748724e+00
39            	roughCylinder	6.678994e-01	1.263985e+02	5.349281e+01
39            	sideWall	7.590850e+00	7.966711e+01	5.415331e+01
39            	bottom	8.361412e-03	1.479337e+01	1.753972e+00
40            	roughCylinder	1.450472e+00	1.263985e+02	5.348936e+01
40            	sideWall	7.590850e+00	7.966750e+01	5.415343e+01
40            	bottom	2.396432e-03	1.493244e+01	1.752191e+00
41            	roughCylinder	2.950537e-01	1.263985e+02	5.349722e+01
41            	sideWall	7.590850e+00	7.966750e+01	5.415330e+01
41            	bottom	7.318593e-03	1.490434e+01	1.748478e+00
42            	roughCylinder	1.385726e+00	1.263985e+02	5.349493e+01
42            	sideWall	7.590850e+00	7.966750e+01	5.415342e+01
42            	bottom	4.466919e-03	1.496142e+01	1.751498e+00
43            	roughCylinder	2.220315e+00	1.263985e+02	5.350338e+01
43            	sideWall	7.590850e+00	7.966750e+01	5.415332e+01
43            	bottom	2.458689e-03	1.481618e+01	1.744888e+00
44            	roughCylinder	1.249140e+00	1.263985e+02	5.348260e+01
44            	sideWall	7.590850e+00	7.966750e+01	5.415343e+01
44            	bottom	7.424956e-03	1.461747e+01	1.743528e+00
45            	roughCylinder	1.573315e+00	1.263985e+02	5.346661e+01
45            	sideWall	7.590850e+00	7.966750e+01	5.415337e+01
45            	bottom	3.586523e-03	1.488994e+01	1.751693e+00
46            	roughCylinder	8.188559e-01	1.263985e+02	5.349914e+01
46            	sideWall	7.590850e+00	7.966750e+01	5.415347e+01
46            	bottom	5.790718e-03	1.493561e+01	1.747758e+00
47            	roughCylinder	1.170361e+00	1.263985e+02	5.346167e+01
47            	sideWall	7.590850e+00	7.966750e+01	5.415338e+01
47            	bottom	5.480631e-03	1.505968e+01	1.748985e+00
48            	roughCylinder	1.674166e+00	1.263985e+02	5.349268e+01
48            	sideWall	7.590850e+00	7.966750e+01	5.415336e+01
48            	bottom	2.217862e-03	1.486784e+01	1.748222e+00
49            	roughCylinder	1.336528e+00	1.263985e+02	5.350375e+01
49            	sideWall	7.590850e+00	7.966750e+01	5.415340e+01
49            	bottom	7.155013e-03	1.507083e+01	1.747465e+00
50            	roughCylinder	5.588300e-01	1.263985e+02	5.345275e+01
50            	sideWall	7.590850e+00	7.966750e+01	5.415350e+01
50            	bottom	9.903010e-04	1.471480e+01	1.746039e+00
