0.00030789 	1.0174e-05 	5.30484e-08
0.000975579 	8.10857e-05 	6.26531e-07
0.00175584 	0.000139423 	1.49368e-06
0.00266765 	0.000189322 	2.60733e-06
0.00373319 	0.000236201 	3.72533e-06
0.00497838 	0.000282012 	4.67487e-06
0.00643351 	0.000328577 	5.48855e-06
0.00813397 	0.000376159 	6.20885e-06
0.0101211 	0.000423999 	6.84203e-06
0.0124433 	0.000471213 	7.38595e-06
0.015157 	0.000517179 	7.84749e-06
0.0183282 	0.000561342 	8.23641e-06
0.0220341 	0.00060326 	8.56167e-06
0.0263648 	0.000642685 	8.83198e-06
0.0314257 	0.000679555 	9.05602e-06
0.0373398 	0.000713933 	9.24194e-06
0.044251 	0.000745913 	9.39713e-06
