# y+ ()       
# Time        	patch         	min           	max           	average       
20            	roughCylinder	5.263902e+00	1.133610e+02	5.623907e+01
20            	sideWall	2.355054e+01	8.068915e+01	6.025896e+01
20            	bottom	1.108722e+00	1.255767e+01	5.231161e+00
21            	roughCylinder	2.323989e+00	1.133548e+02	5.618817e+01
21            	sideWall	2.355165e+01	8.068952e+01	6.026356e+01
21            	bottom	1.458642e+00	1.255086e+01	5.230943e+00
22            	roughCylinder	2.919906e+00	1.133557e+02	5.625265e+01
22            	sideWall	2.355149e+01	8.069293e+01	6.026709e+01
22            	bottom	5.828441e-01	1.255002e+01	5.230338e+00
23            	roughCylinder	3.569297e-01	1.133681e+02	5.625482e+01
23            	sideWall	2.355260e+01	8.069255e+01	6.026958e+01
23            	bottom	1.386255e+00	1.255613e+01	5.230350e+00
24            	roughCylinder	3.064794e+00	1.133443e+02	5.621924e+01
24            	sideWall	2.355197e+01	8.068990e+01	6.027125e+01
24            	bottom	6.124071e-01	1.255858e+01	5.230733e+00
25            	roughCylinder	3.451068e+00	1.133443e+02	5.622608e+01
25            	sideWall	2.355260e+01	8.069709e+01	6.027243e+01
25            	bottom	6.888696e-01	1.255880e+01	5.231072e+00
26            	roughCylinder	3.298390e-01	1.133698e+02	5.621169e+01
26            	sideWall	2.355268e+01	8.069142e+01	6.027302e+01
26            	bottom	9.231438e-01	1.255609e+01	5.230769e+00
27            	roughCylinder	4.035984e+00	1.133751e+02	5.623306e+01
27            	sideWall	2.355299e+01	8.069709e+01	6.027319e+01
27            	bottom	1.628704e+00	1.256433e+01	5.230899e+00
28            	roughCylinder	5.219689e+00	1.133592e+02	5.620752e+01
28            	sideWall	2.355323e+01	8.068687e+01	6.027341e+01
28            	bottom	1.041905e+00	1.255364e+01	5.230601e+00
29            	roughCylinder	2.750884e+00	1.133456e+02	5.625301e+01
29            	sideWall	2.355228e+01	8.069596e+01	6.027363e+01
29            	bottom	1.314987e+00	1.256018e+01	5.231197e+00
30            	roughCylinder	5.541696e+00	1.133645e+02	5.626909e+01
30            	sideWall	2.355371e+01	8.068952e+01	6.027363e+01
30            	bottom	1.106181e+00	1.255987e+01	5.231052e+00
31            	roughCylinder	4.487945e+00	1.133438e+02	5.622733e+01
31            	sideWall	2.355157e+01	8.068574e+01	6.027353e+01
31            	bottom	1.606199e+00	1.256345e+01	5.231749e+00
32            	roughCylinder	1.046916e+00	1.133711e+02	5.623005e+01
32            	sideWall	2.355173e+01	8.069444e+01	6.027320e+01
32            	bottom	4.852269e-01	1.255738e+01	5.230819e+00
33            	roughCylinder	1.900972e+00	1.133518e+02	5.618553e+01
33            	sideWall	2.355086e+01	8.068385e+01	6.027271e+01
33            	bottom	3.798522e-01	1.256345e+01	5.231105e+00
34            	roughCylinder	3.500023e+00	1.133782e+02	5.621565e+01
34            	sideWall	2.355102e+01	8.069179e+01	6.027222e+01
34            	bottom	6.993746e-01	1.256382e+01	5.231085e+00
35            	roughCylinder	1.517237e+00	1.133830e+02	5.623701e+01
35            	sideWall	2.355086e+01	8.068044e+01	6.027158e+01
35            	bottom	5.109545e-01	1.256516e+01	5.230674e+00
36            	roughCylinder	4.890091e+00	1.133747e+02	5.618952e+01
