# y+ ()       
# Time        	patch         	min           	max           	average       
20            	roughCylinder	3.530384e+00	1.137643e+02	5.628952e+01
20            	sideWall	2.117980e+01	8.146741e+01	6.057079e+01
20            	bottom	8.681758e-01	9.707648e+00	3.683184e+00
21            	roughCylinder	3.532453e+00	1.137555e+02	5.627512e+01
21            	sideWall	2.118148e+01	8.147041e+01	6.057663e+01
21            	bottom	5.346248e-01	9.707530e+00	3.683130e+00
22            	roughCylinder	2.657270e+00	1.137498e+02	5.625193e+01
22            	sideWall	2.118253e+01	8.147715e+01	6.058129e+01
22            	bottom	4.272969e-01	9.707698e+00	3.683231e+00
23            	roughCylinder	3.602579e+00	1.137630e+02	5.622905e+01
23            	sideWall	2.118376e+01	8.147940e+01	6.058503e+01
23            	bottom	7.747962e-01	9.707622e+00	3.683465e+00
24            	roughCylinder	2.885902e+00	1.137621e+02	5.638253e+01
24            	sideWall	2.118412e+01	8.147978e+01	6.058733e+01
24            	bottom	7.949927e-01	9.707135e+00	3.683162e+00
25            	roughCylinder	2.470814e+00	1.138893e+02	5.630000e+01
25            	sideWall	2.118332e+01	8.148840e+01	6.058842e+01
25            	bottom	6.893048e-01	9.707589e+00	3.682021e+00
26            	roughCylinder	3.140288e+00	1.137621e+02	5.634108e+01
26            	sideWall	2.118324e+01	8.149102e+01	6.058994e+01
26            	bottom	4.752720e-01	9.708076e+00	3.683200e+00
27            	roughCylinder	4.207827e+00	1.137805e+02	5.629977e+01
27            	sideWall	2.117839e+01	8.145128e+01	6.059113e+01
27            	bottom	6.723243e-01	9.708219e+00	3.684428e+00
28            	roughCylinder	7.516966e-01	1.138042e+02	5.627078e+01
28            	sideWall	2.118244e+01	8.144829e+01	6.059211e+01
28            	bottom	1.137668e-01	9.707925e+00	3.685625e+00
29            	roughCylinder	1.448556e+00	1.138358e+02	5.629696e+01
29            	sideWall	2.118148e+01	8.147153e+01	6.059259e+01
29            	bottom	3.856999e-01	9.708211e+00	3.686152e+00
30            	roughCylinder	5.677796e+00	1.138007e+02	5.635848e+01
30            	sideWall	2.117980e+01	8.144416e+01	6.059236e+01
30            	bottom	9.378493e-01	9.708480e+00	3.686070e+00
31            	roughCylinder	4.435389e+00	1.138104e+02	5.631673e+01
31            	sideWall	2.117646e+01	8.146778e+01	6.059013e+01
31            	bottom	8.783280e-01	9.708673e+00	3.685763e+00
32            	roughCylinder	2.611798e+00	1.137946e+02	5.631065e+01
32            	sideWall	2.117734e+01	8.145053e+01	6.058630e+01
32            	bottom	6.577535e-01	9.708538e+00	3.685622e+00
33            	roughCylinder	3.791966e+00	1.137959e+02	5.628836e+01
33            	sideWall	2.117522e+01	8.145653e+01	6.058234e+01
33            	bottom	8.891250e-01	9.708177e+00	3.685130e+00
34            	roughCylinder	1.857089e+00	1.137906e+02	5.624012e+01
34            	sideWall	2.117690e+01	8.145766e+01	6.057915e+01
34            	bottom	8.346716e-01	9.708337e+00	3.684747e+00
35            	roughCylinder	2.314763e+00	1.137915e+02	5.631925e+01
35            	sideWall	2.117584e+01	8.145091e+01	6.057731e+01
35            	bottom	6.011668e-01	9.708379e+00	3.684567e+00
36            	roughCylinder	2.753671e+00	1.138055e+02	5.624909e+01
36            	sideWall	2.117751e+01	8.146516e+01	6.057703e+01
36            	bottom	4.167588e-01	9.708488e+00	3.684580e+00
37            	roughCylinder	2.273159e+00	1.137840e+02	5.634154e+01
37            	sideWall	2.117778e+01	8.145128e+01	6.057757e+01
37            	bottom	3.894736e-01	9.708370e+00	3.684780e+00
38            	roughCylinder	2.419083e+00	1.137998e+02	5.629432e+01
38            	sideWall	2.117778e+01	8.146966e+01	6.057840e+01
38            	bottom	9.247624e-01	9.708194e+00	3.684891e+00
39            	roughCylinder	2.250124e+00	1.137924e+02	5.628236e+01
39            	sideWall	2.117875e+01	8.145803e+01	6.057924e+01
39            	bottom	1.060633e+00	9.707975e+00	3.684458e+00
40            	roughCylinder	1.927836e+00	1.137941e+02	5.626997e+01
40            	sideWall	2.117804e+01	8.146816e+01	6.058001e+01
40            	bottom	2.917715e-01	9.708093e+00	3.684308e+00
41            	roughCylinder	2.833825e+00	1.137678e+02	5.628974e+01
41            	sideWall	2.117972e+01	8.146141e+01	6.058070e+01
41            	bottom	4.288899e-01	9.708169e+00	3.683977e+00
42            	roughCylinder	4.683375e+00	1.137832e+02	5.626331e+01
42            	sideWall	2.117866e+01	8.146178e+01	6.058133e+01
42            	bottom	7.088131e-01	9.708278e+00	3.684085e+00
43            	roughCylinder	5.025736e+00	1.137928e+02	5.626225e+01
43            	sideWall	2.118007e+01	8.146853e+01	6.058194e+01
43            	bottom	9.523437e-01	9.708169e+00	3.684356e+00
44            	roughCylinder	1.598192e+00	1.137792e+02	5.627168e+01
44            	sideWall	2.117919e+01	8.146141e+01	6.058250e+01
44            	bottom	5.008899e-01	9.708227e+00	3.684407e+00
45            	roughCylinder	3.710941e+00	1.137836e+02	5.629037e+01
45            	sideWall	2.117989e+01	8.147828e+01	6.058323e+01
45            	bottom	7.208704e-01	9.708026e+00	3.684547e+00
46            	roughCylinder	2.234503e+00	1.137889e+02	5.628265e+01
46            	sideWall	2.118077e+01	8.146366e+01	6.058401e+01
46            	bottom	8.466169e-01	9.708034e+00	3.684394e+00
47            	roughCylinder	9.769638e-01	1.137836e+02	5.627291e+01
47            	sideWall	2.118016e+01	8.147640e+01	6.058461e+01
47            	bottom	9.573551e-01	9.707917e+00	3.684273e+00
48            	roughCylinder	1.898765e+00	1.137757e+02	5.626680e+01
48            	sideWall	2.118165e+01	8.146666e+01	6.058508e+01
48            	bottom	4.599432e-01	9.708101e+00	3.684023e+00
49            	roughCylinder	2.823615e+00	1.137735e+02	5.627347e+01
49            	sideWall	2.118033e+01	8.146853e+01	6.058527e+01
49            	bottom	4.273447e-01	9.707833e+00	3.683841e+00
50            	roughCylinder	9.741507e-01	1.137814e+02	5.629075e+01
50            	sideWall	2.118183e+01	8.147078e+01	6.058538e+01
50            	bottom	6.602379e-01	9.707975e+00	3.683793e+00
