# y+ ()       
# Time        	patch         	min           	max           	average       
28            	sideWall	2.222337e+01	8.367454e+01	6.243189e+01
28            	bottom	6.155545e-01	9.687460e+00	3.750045e+00
29            	roughCylinder	2.018595e+00	1.111062e+02	5.510119e+01
29            	sideWall	2.222395e+01	8.368257e+01	6.243218e+01
29            	bottom	3.118115e-01	9.687715e+00	3.750230e+00
30            	roughCylinder	2.357879e+00	1.111107e+02	5.514571e+01
30            	sideWall	2.222139e+01	8.366688e+01	6.243251e+01
30            	bottom	8.243228e-01	9.688093e+00	3.750581e+00
31            	roughCylinder	1.738126e+00	1.111300e+02	5.516375e+01
31            	sideWall	2.222163e+01	8.367710e+01	6.243231e+01
31            	bottom	6.091900e-01	9.688163e+00	3.750902e+00
32            	roughCylinder	2.782182e+00	1.111269e+02	5.512257e+01
32            	sideWall	2.221907e+01	8.365629e+01	6.243134e+01
32            	bottom	5.050253e-01	9.688541e+00	3.751365e+00
33            	roughCylinder	2.877060e+00	1.111777e+02	5.532681e+01
33            	sideWall	2.221866e+01	8.367053e+01	6.242998e+01
33            	bottom	7.915489e-01	9.687644e+00	3.752039e+00
34            	roughCylinder	2.577702e+00	1.111471e+02	5.516387e+01
34            	sideWall	2.221717e+01	8.364497e+01	6.242888e+01
34            	bottom	1.066392e+00	9.687961e+00	3.752843e+00
35            	roughCylinder	1.707080e+00	1.111359e+02	5.512521e+01
35            	sideWall	2.221345e+01	8.366615e+01	6.242626e+01
35            	bottom	9.717396e-01	9.688356e+00	3.751802e+00
36            	roughCylinder	4.223571e+00	1.111444e+02	5.518047e+01
36            	sideWall	2.221188e+01	8.364680e+01	6.242350e+01
36            	bottom	8.283859e-01	9.689103e+00	3.751863e+00
37            	roughCylinder	2.471334e+00	1.111714e+02	5.518561e+01
37            	sideWall	2.221246e+01	8.364826e+01	6.242038e+01
37            	bottom	6.207369e-01	9.689332e+00	3.752857e+00
38            	roughCylinder	2.447768e+00	1.111574e+02	5.521597e+01
38            	sideWall	2.221056e+01	8.363036e+01	6.241724e+01
38            	bottom	6.917584e-01	9.689156e+00	3.753127e+00
39            	roughCylinder	2.299700e+00	1.111862e+02	5.521761e+01
39            	sideWall	2.221081e+01	8.365045e+01	6.241454e+01
39            	bottom	5.517926e-01	9.689420e+00	3.753012e+00
40            	roughCylinder	2.704317e+00	1.111880e+02	5.523789e+01
40            	sideWall	2.220940e+01	8.362854e+01	6.241284e+01
40            	bottom	4.181730e-01	9.689727e+00	3.752689e+00
41            	roughCylinder	1.934611e+00	1.112096e+02	5.522684e+01
41            	sideWall	2.220808e+01	8.364899e+01	6.241186e+01
41            	bottom	6.521246e-01	9.689886e+00	3.752831e+00
42            	roughCylinder	3.463179e+00	1.111893e+02	5.523584e+01
42            	sideWall	2.220700e+01	8.361868e+01	6.241156e+01
42            	bottom	5.355171e-01	9.690527e+00	3.753285e+00
43            	roughCylinder	2.264949e+00	1.112311e+02	5.522990e+01
43            	sideWall	2.220469e+01	8.363803e+01	6.241082e+01
43            	bottom	8.042657e-01	9.690659e+00	3.753591e+00
44            	roughCylinder	3.096319e+00	1.112172e+02	5.523687e+01
44            	sideWall	2.220361e+01	8.360735e+01	6.240915e+01
44            	bottom	6.872928e-01	9.690949e+00	3.754045e+00
45            	roughCylinder	2.889284e-01	1.112293e+02	5.524759e+01
45            	sideWall	2.220006e+01	8.362598e+01	6.240683e+01
45            	bottom	5.610589e-01	9.691353e+00	3.754280e+00
46            	roughCylinder	5.282418e+00	1.112262e+02	5.528853e+01
46            	sideWall	2.219981e+01	8.359712e+01	6.240402e+01
46            	bottom	8.159730e-01	9.691617e+00	3.754697e+00
47            	roughCylinder	1.837496e+00	1.112540e+02	5.526076e+01
47            	sideWall	2.219575e+01	8.361101e+01	6.240100e+01
47            	bottom	7.248328e-01	9.691819e+00	3.754988e+00
48            	roughCylinder	4.113100e+00	1.112311e+02	5.528963e+01
48            	sideWall	2.219575e+01	8.358470e+01	6.239783e+01
48            	bottom	6.353489e-01	9.692214e+00	3.755205e+00
49            	roughCylinder	3.519853e+00	1.112473e+02	5.533130e+01
49            	sideWall	2.219120e+01	8.359931e+01	6.239460e+01
49            	bottom	5.437103e-01	9.692495e+00	3.755417e+00
50            	roughCylinder	2.917167e+00	1.112316e+02	5.532561e+01
50            	sideWall	2.219211e+01	8.357812e+01	6.239163e+01
50            	bottom	7.556527e-01	9.693093e+00	3.755879e+00
