# y+ ()       
# Time        	patch         	min           	max           	average       
20            	roughCylinder	6.972231e-01	4.942211e+01	2.904579e+01
20            	sideWall	4.270099e+00	7.886915e+01	5.332616e+01
20            	bottom	1.082967e-02	1.360179e+01	2.020480e+00
21            	roughCylinder	7.699915e-01	4.973316e+01	2.931699e+01
21            	sideWall	4.268997e+00	7.848289e+01	5.328208e+01
21            	bottom	2.393176e-02	1.366241e+01	2.011952e+00
22            	roughCylinder	8.478311e-01	5.000410e+01	2.962458e+01
22            	sideWall	4.269498e+00	7.816860e+01	5.322457e+01
22            	bottom	3.314052e-02	1.375600e+01	2.013739e+00
23            	roughCylinder	8.911540e-02	4.980243e+01	2.996899e+01
23            	sideWall	4.268160e+00	7.788011e+01	5.315936e+01
23            	bottom	1.397498e-02	1.372591e+01	2.018019e+00
24            	roughCylinder	3.572597e-01	4.982344e+01	3.028675e+01
24            	sideWall	4.268890e+00	7.768865e+01	5.309260e+01
24            	bottom	3.397539e-02	1.376377e+01	2.007476e+00
25            	roughCylinder	1.172707e+00	4.996933e+01	3.058289e+01
25            	sideWall	4.267609e+00	7.750555e+01	5.302882e+01
25            	bottom	2.792204e-02	1.361809e+01	2.013545e+00
26            	roughCylinder	8.407224e-01	5.010507e+01	3.081621e+01
26            	sideWall	4.268332e+00	7.738696e+01	5.297106e+01
26            	bottom	3.000017e-02	1.365894e+01	2.009595e+00
27            	roughCylinder	1.000127e+00	5.048902e+01	3.109757e+01
27            	sideWall	4.267373e+00	7.725234e+01	5.292101e+01
27            	bottom	3.518652e-02	1.354843e+01	2.005107e+00
28            	roughCylinder	8.826753e-01	5.071238e+01	3.136237e+01
28            	sideWall	4.267817e+00	7.716709e+01	5.287893e+01
28            	bottom	4.700983e-02	1.419299e+01	2.002348e+00
29            	roughCylinder	9.655894e-01	5.110258e+01	3.153796e+01
29            	sideWall	4.267323e+00	7.711558e+01	5.284449e+01
29            	bottom	2.461481e-02	1.406365e+01	2.001719e+00
30            	roughCylinder	1.078536e+00	5.138456e+01	3.178935e+01
30            	sideWall	4.267316e+00	7.707323e+01	5.281664e+01
30            	bottom	4.809485e-02	1.373535e+01	2.000855e+00
31            	roughCylinder	9.695171e-01	5.162850e+01	3.194978e+01
31            	sideWall	4.267344e+00	7.706840e+01	5.279449e+01
31            	bottom	5.601699e-03	1.372591e+01	2.010159e+00
32            	roughCylinder	4.340504e-01	5.187854e+01	3.212103e+01
32            	sideWall	4.266829e+00	7.701682e+01	5.277678e+01
32            	bottom	2.979222e-02	1.393956e+01	2.016367e+00
