0.00030789 	9.98196e-06 	5.2306e-08
0.000975579 	7.99422e-05 	6.21965e-07
0.00175584 	0.000137645 	1.48226e-06
0.00266765 	0.000187113 	2.58737e-06
0.00373319 	0.000233669 	3.69983e-06
0.00497838 	0.000279224 	4.64775e-06
0.00643351 	0.000325559 	5.46151e-06
0.00813397 	0.000372935 	6.18257e-06
0.0101211 	0.000420593 	6.81687e-06
0.0124433 	0.00046765 	7.36205e-06
0.015157 	0.000513497 	7.82497e-06
0.0183282 	0.000557589 	8.21544e-06
0.0220341 	0.000599489 	8.54245e-06
0.0263648 	0.000638951 	8.81466e-06
0.0314257 	0.000675903 	9.04065e-06
0.0373398 	0.000710394 	9.22853e-06
0.044251 	0.000742496 	9.38527e-06
